Date,Open,High,Low,Close,Volume,Adj Close
2015-05-14,2420.95,2420.95,2420.95,2420.95,000,2420.95
2015-05-13,2487.58,2487.58,2398.74,2420.95,21486800,2420.95
2015-05-12,2532.00,2549.77,2514.23,2514.23,7245900,2514.23
2015-05-11,2594.19,2611.96,2536.45,2536.45,7691700,2536.45
2015-05-08,2509.79,2589.75,2509.79,2576.42,14653600,2576.42
2015-05-07,2478.70,2598.63,2447.60,2509.79,24503400,2509.79
2015-05-06,2394.30,2487.58,2376.53,2487.58,12887400,2487.58
2015-05-05,2398.74,2434.28,2345.43,2385.41,17403300,2385.41
2015-05-04,2398.74,2465.37,2363.20,2385.41,7485200,2385.41
2015-05-01,2456.49,2456.49,2456.49,2456.49,000,2456.49
2015-04-30,2474.26,2527.56,2416.51,2456.49,8889600,2456.49
2015-04-29,2540.89,2554.21,2416.51,2496.47,12794900,2496.47
2015-04-28,2487.58,2545.33,2380.97,2523.12,12416800,2523.12
2015-04-27,2647.50,2660.82,2443.16,2443.16,22547000,2443.16
2015-04-24,2700.80,2731.90,2643.06,2643.06,17186100,2643.06
2015-04-23,2736.34,2771.88,2696.36,2700.80,11556500,2700.80
2015-04-22,2794.09,2807.41,2731.90,2731.90,10656100,2731.90
2015-04-21,2785.20,2811.86,2767.44,2794.09,13304300,2794.09
2015-04-20,2754.11,2794.09,2740.78,2785.20,7622500,2785.20
2015-04-17,2727.46,2789.65,2718.57,2776.32,15259800,2776.32
2015-04-16,2723.01,2749.67,2691.92,2718.57,9997400,2718.57
2015-04-15,2700.80,2745.22,2638.61,2700.80,10688500,2700.80
2015-04-14,2687.48,2705.25,2656.38,2665.27,4950300,2665.27
2015-04-13,2687.48,2736.34,2683.03,2687.48,7220400,2687.48
2015-04-10,2789.65,2789.65,2718.57,2731.90,12445500,2731.90
2015-04-09,2785.20,2807.41,2749.67,2776.32,14102300,2776.32
2015-04-08,2758.55,2825.18,2705.25,2776.32,45183100,2776.32
2015-04-07,2563.10,2754.11,2558.66,2754.11,32228200,2754.11
2015-04-06,2616.40,2634.17,2549.77,2549.77,17224400,2549.77
2015-04-03,2616.40,2616.40,2616.40,2616.40,000,2616.40
2015-04-02,2691.92,2700.80,2594.19,2616.40,20932300,2616.40
2015-04-01,2714.13,2718.57,2660.82,2696.36,14087700,2696.36
2015-03-31,2727.46,2745.22,2714.13,2714.13,14442900,2714.13
2015-03-30,2718.57,2727.46,2678.59,2700.80,19663100,2700.80
2015-03-27,2709.69,2727.46,2656.38,2678.59,13343900,2642.608
2015-03-26,2749.67,2776.32,2669.71,2687.48,14191900,2651.379
2015-03-25,2807.41,2807.41,2740.78,2758.55,8989000,2721.494
2015-03-24,2851.84,2874.05,2811.86,2811.86,11359600,2774.088
2015-03-23,2931.79,2945.12,2860.72,2860.72,13345300,2822.291
2015-03-20,2878.49,2922.91,2860.72,2914.02,11540400,2874.876
2015-03-19,2887.37,2918.47,2882.93,2887.37,20029600,2848.584
2015-03-18,2807.41,2865.16,2762.99,2856.28,21818400,2817.911
2015-03-17,2740.78,2807.41,2727.46,2807.41,13826800,2769.698
2015-03-16,2754.11,2767.44,2727.46,2727.46,7472000,2690.822
2015-03-13,2820.74,2829.62,2740.78,2762.99,8923300,2725.874
2015-03-12,2771.88,2811.86,2745.22,2776.32,14770700,2739.025
2015-03-11,2816.30,2834.07,2714.13,2749.67,32533600,2712.733
2015-03-10,2834.07,2882.93,2789.65,2851.84,20297600,2813.531
2015-03-09,2900.70,2900.70,2825.18,2834.07,15843500,2796.00
2015-03-06,2931.79,2945.12,2896.26,2900.70,7387500,2861.734
2015-03-05,2922.91,2949.56,2909.58,2922.91,9726300,2883.646
2015-03-04,2985.10,3016.19,2896.26,2936.24,21952100,2896.797
2015-03-03,3042.85,3047.29,2980.66,2985.10,18120800,2945.001
2015-03-02,3047.29,3087.27,3020.64,3025.08,10997800,2984.444
2015-02-27,3060.61,3065.06,3033.96,3056.17,6181500,3015.116
2015-02-26,3002.87,3065.06,3002.87,3056.17,17413200,3015.116
2015-02-25,3109.48,3113.92,3047.29,3056.17,25577800,3015.116
2015-02-24,3082.82,3113.92,3073.94,3082.82,12613500,3041.408
2015-02-23,3118.36,3145.01,3073.94,3082.82,35699100,3041.408
2015-02-20,3029.52,3122.80,3029.52,3100.59,27126100,3058.939
2015-02-19,3029.52,3029.52,3029.52,3029.52,000,2988.824
2015-02-18,3020.64,3051.73,3007.31,3029.52,20042200,2988.824
2015-02-17,2985.10,3042.85,2971.77,2989.54,11936500,2949.381
2015-02-16,3065.06,3073.94,2958.45,2985.10,18392100,2945.001
2015-02-13,3118.36,3127.25,3047.29,3051.73,18515200,3010.736
2015-02-12,3127.25,3140.57,3082.82,3082.82,11826000,3041.408
2015-02-11,3127.25,3171.67,3109.48,3109.48,20721200,3067.71
2015-02-10,3113.92,3113.92,3060.61,3082.82,13672100,3041.408
2015-02-09,3131.69,3153.90,3065.06,3105.04,17235200,3063.33
2015-02-06,3162.78,3189.44,3122.80,3127.25,21936600,3085.241
2015-02-05,3127.25,3282.72,3109.48,3136.13,105255000,3094.002
2015-02-04,3407.10,3438.19,3020.64,3029.52,135144800,2988.824
2015-02-03,3313.81,3420.43,3313.81,3376.00,44153600,3330.65
2015-02-02,3264.95,3322.70,3260.51,3309.37,16864100,3264.915
2015-01-30,3296.05,3358.24,3282.72,3282.72,59351600,3238.623
2015-01-29,3220.53,3287.16,3220.53,3282.72,20717800,3238.623
2015-01-28,3216.09,3256.07,3207.20,3233.86,10513300,3190.419
2015-01-27,3207.20,3233.86,3171.67,3224.97,24515900,3181.648
2015-01-26,3264.95,3309.37,3162.78,3180.55,39256500,3137.825
2015-01-23,3264.95,3353.79,3264.95,3278.28,45418600,3234.242
2015-01-22,3180.55,3247.18,3149.46,3238.30,38265800,3194.799
2015-01-21,3184.99,3207.20,3127.25,3153.90,25392800,3111.533
2015-01-20,3109.48,3176.11,3073.94,3171.67,23749400,3129.064
2015-01-19,3087.27,3145.01,3087.27,3096.15,8672900,3054.559
2015-01-16,3136.13,3149.46,3073.94,3078.38,12774200,3037.028
2015-01-15,3136.13,3149.46,3069.50,3136.13,19126900,3094.002
